month,smb,hml,umd,rf,rm,rmrf
2005m7,-.00143623,.00010317,-.00079841,.0036232148,.0338606521,.03023744
2005m8,.00987087,.00422921,.01415034,.0035813979,.0116675408,.00808614
2005m9,-.01589987,-.03027287,.04695552,.0035981244,.0341708544,.03057273
2005m10,-.01330211,.00705849,.00320224,.0036148511,-.0288749173,-.03248977
2005m11,.05844373,-.03394238,.0494408,.0035981244,.0330338919,.02943577
2005m12,.00507809,-.01241629,.0164,.0036148511,.0393546602,.03573981
2006m1,.03010259,-.01663434,.04918086,.0035981244,.0291158131,.02551769
2006m2,.02469727,.00405994,.01087544,.0035813979,.012072289,.00849089
2006m3,-.01405826,.00364311,.02541699,.0036064879,.0379005803,.03429409
2006m4,-.01203978,-.02481107,.03264883,.0036315782,.0106563787,.0070248
2006m5,.00107348,.00127272,-.02754815,.0036817612,-.0478188691,-.05150063
2006m6,-.01109696,.00815572,.00007571,.0037068534,.0200993247,.01639247
2006m7,-.02107989,.02440571,-.00725556,.0038155941,.013186181,.00937059
2006m8,.01822398,-.00908739,-.00462152,.0038908832,.0071252648,.00323438
2006m9,.02504817,.03692307,-.01147877,.0039661778,.0157223148,.01175614
2006m10,.00333703,.03052215,.02169525,.0040582123,.0303514931,.02629328
2006m11,.02322007,.01755539,.02741801,.0040833142,-.002895799,-.00697911
2006m12,.03875625,.00592952,.02890674,.0041586233,.03334385,.02918523
2007m1,.00325855,-.01130722,-.02330108,.0043678446,-.0024968775,-.00686472
2007m2,-.00082797,-.02140807,-.00619353,.004325997,-.0016985558,-.00602455
2007m3,.00100316,-.00128549,.01103632,.0043762145,.0334471913,.02907098
2007m4,-.00192292,-.00125513,.00262817,.0044515455,.0244951963,.02004365
2007m5,-.0170829,.01425865,.00205568,.0045268823,.0281900252,.02366314
2007m6,-.05250195,.00518683,-.04747173,.0046859448,-.0075711932,-.01225714
2007m7,.02630497,-.02035005,.01983981,.0046692002,-.0332351602,-.03790436
2007m8,-.02314968,-.00515105,-.00488103,.0046859448,-.0026963583,-.0073823
2007m9,-.07888955,-.00314401,.06433161,.0045519956,.0188759399,.01432394
2007m10,.00938874,.00317915,.0311867,.0045268823,.0434160568,.03888917
2007m11,-.070871,-.0274818,.05240233,.0044264345,-.0474379211,-.05186436
2007m12,-.03279028,.01005328,.03271342,.004267413,.0026033829,-.00166403
2008m1,.00743653,.00542734,-.00978215,.0041167841,-.086617009,-.09073379
2008m2,.04200614,-.01172902,.07593839,.0040582123,.0077297212,.00367151
2008m3,.00335608,-.01694188,.01809305,.0038908832,-.0205851721,-.02447606
2008m4,-.04940917,.00983295,.06871806,.0039912773,.0625800923,.05858881
2008m5,-.01005241,-.02934438,.04477178,.0041084165,-.0019980013,-.00610642
2008m6,-.02487664,-.02773796,.13513311,.0041586232,-.0706780084,-.07483663
2008m7,.01675973,-.06965532,.00147268,.0041335195,-.0360347184,-.04016824
2008m8,-.00654898,-.00152275,-.09546905,.0040247443,.0499053319,.04588059
2008m9,-.00913765,-.03737999,-.02157296,.0036817611,-.1323787435,-.1360605
2008m10,-.11476283,-.07014741,.08793762,.0029042091,-.1190020677,-.12190628
2008m11,-.06291687,.00035519,.04623821,.0013926355,-.016659667,-.0180523
2008m12,-.0418123,.00567662,.02901619,.0009754755,.0367595173,.03578404
2009m1,.03747751,-.06836674,.04463889,.0007502813,-.0583296382,-.05907992
2009m2,.02557139,.0101124,-.06834045,.0005501513,-.0651788019,-.06572895
2009m3,.0059823,.01835174,-.15646179,.0005168002,.032827307,.03231051
2009m4,.156074,.07629846,-.25028301,.0004834502,.0994389453,.0989555
2009m5,.00865862,-.01578997,-.03929167,.0004334272,.041956296,.04152287
2009m6,.01145456,-.03071845,.02305879,.0004084167,-.0320743476,-.03248276
2009m7,.00213945,.02591618,-.0262638,.0003583975,.0850217143,.08466332
2009m8,.0512082,.09005717,-.04643381,.0003083809,.0770221884,.07671381
2009m9,-.00460253,.00317228,-.03229072,.0003250528,.0471791236,.04685407
2009m10,-.00596214,-.02730201,.02817635,.0003750703,-.0182317535,-.01860682
2009m11,-.06302818,-.02592254,.03177527,.0003834068,.0296305,.02924709
2009m12,-.02614585,.00213026,-.00441667,.0004084167,.0434160564,.04300764
2010m1,.05016524,-.01860431,.00459189,.0004084167,-.0357454855,-.0361539
2010m2,-.03651418,.00252939,.02301087,.0004084167,.03375727,.03334885
2010m3,-.0215276,.01524126,.06432032,.0004250903,.0675859734,.06716088
2010m4,.0555079,.01695321,-.00799572,.0004167535,-.0139024557,-.01431921
2010m5,-.01608422,-.02544223,.00188276,.0004084167,-.0622763598,-.06268478
2010m6,.02654983,-.02660468,.04083112,.0004084167,-.0462941611,-.04670258
2010m7,-.0088617,.00279676,.04419018,.0004167535,.0689747376,.06855798
